#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.00481     3.00481           0
           2     3.00355     3.00418 0.000446488
           3     3.00221     3.00352 0.000613211
           4      3.0008     3.00284 0.000747632
           5     2.99932     3.00214 0.000868044
           6     2.99779     3.00141  0.00098027
           7      2.9962     3.00067  0.00108681
           8     2.99457     2.99991   0.0011889
           9     2.99289     2.99913  0.00128717
          10     2.99118     2.99833   0.0013819
          11     2.98945     2.99752  0.00147324
          12     2.98771     2.99671  0.00156116
          13     2.98596     2.99588  0.00164561
          14     2.98421     2.99505  0.00172646
          15     2.98247     2.99421  0.00180356
          16     2.98075     2.99337  0.00187674
          17     2.97906     2.99252  0.00194585
          18     2.97741     2.99169   0.0020107
          19     2.97581     2.99085  0.00207114
          20     2.97427     2.99002  0.00212701
          21     2.97279      2.9892  0.00217818
          22     2.97139     2.98839  0.00222453
          23     2.97007     2.98759  0.00226598
          24     2.96883     2.98681  0.00230245
          25     2.96769     2.98605  0.00233391
          26     2.96665      2.9853  0.00236034
          27     2.96572     2.98458  0.00238177
          28     2.96489     2.98387  0.00239824
          29     2.96417     2.98319  0.00240984
          30     2.96357     2.98254  0.00241667
          31     2.96308     2.98191  0.00241888
          32      2.9627     2.98131  0.00241662
          33     2.96244     2.98074   0.0024101
          34     2.96229      2.9802  0.00239952
          35     2.96225     2.97968  0.00238512
          36     2.96232      2.9792  0.00236716
          37     2.96248     2.97875  0.00234592
          38     2.96275     2.97833  0.00232167
          39     2.96311     2.97794  0.00229471
          40     2.96355     2.97758  0.00226535
          41     2.96408     2.97725  0.00223388
          42     2.96469     2.97695  0.00220062
          43     2.96536     2.97668  0.00216588
          44      2.9661     2.97644  0.00212995
          45      2.9669     2.97623  0.00209314
          46     2.96775     2.97604  0.00205574
          47     2.96865     2.97589  0.00201801
          48     2.96959     2.97576  0.00198023
          49     2.97056     2.97565  0.00194266
          50     2.97157     2.97557  0.00190552
          51      2.9726     2.97551  0.00186905
          52     2.97365     2.97547  0.00183345
          53     2.97472     2.97546  0.00179891
          54      2.9758     2.97547  0.00176561
          55     2.97689     2.97549   0.0017337
          56     2.97799     2.97554  0.00170331
          57      2.9791      2.9756  0.00167458
          58      2.9802     2.97568  0.00164758
          59     2.98131     2.97577  0.00162242
          60     2.98242     2.97589  0.00159916
          61     2.98352     2.97601  0.00157783
          62     2.98462     2.97615  0.00155847
