#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.04416     3.04416           0
           2     3.01881     3.03148   0.0089644
           3     3.02231     3.02842  0.00647685
           4     3.06199     3.03682  0.00874187
           5     3.03655     3.03676  0.00699366
           6     3.03224     3.03601  0.00586861
           7     3.00146     3.03107  0.00679601
           8     3.04245     3.03249   0.0060934
           9     3.02962     3.03218  0.00542473
          10     2.99067     3.02803  0.00627195
          11     2.98581     3.02419  0.00677507
          12     3.02608     3.02434  0.00621231
          13     3.04575     3.02599  0.00594863
          14     3.05389     3.02798  0.00584792
          15     3.01624      3.0272   0.0055102
          16     3.00329     3.02571  0.00536457
          17     2.99713     3.02403   0.0053058
          18     3.02641     3.02416  0.00501268
          19     3.03879     3.02493  0.00480761
          20      3.0542     3.02639  0.00478486
          21     2.97894     3.02413  0.00506248
          22     3.04835     3.02523  0.00495057
          23     3.00702     3.02444  0.00479823
          24     3.00686     3.02371  0.00465388
          25     3.02243     3.02366    0.004468
          26     3.02107     3.02356  0.00429727
          27      3.0553     3.02473  0.00429593
          28     3.02576     3.02477  0.00414266
          29     3.03113     3.02499  0.00400561
          30     3.00061     3.02418  0.00395363
          31     3.03643     3.02457  0.00384579
          32     3.05062     3.02539  0.00381081
          33     3.03001     3.02553  0.00369791
          34     3.05485     3.02639  0.00368833
          35     3.01086     3.02594  0.00360955
          36     3.06421     3.02701  0.00366243
          37     3.03961     3.02735  0.00357925
          38     3.03437     3.02753  0.00348983
          39     3.01784     3.02728  0.00340919
          40     3.02077     3.02712  0.00332784
          41     3.04182     3.02748  0.00326591
          42     3.02212     3.02735  0.00319065
          43     3.01763     3.02713  0.00312444
          44     3.02757     3.02714  0.00305345
          45     2.99238     3.02636  0.00308175
          46     3.01614     3.02614  0.00302275
          47     3.04535     3.02655  0.00298593
          48     3.04839     3.02701  0.00295819
          49     3.05462     3.02757  0.00295101
          50     3.04693     3.02796  0.00291729
          51     3.02108     3.02782  0.00286321
          52     2.99654     3.02722  0.00287063
          53     3.00723     3.02684  0.00284114
          54     2.98109       3.026  0.00291211
          55     3.05036     3.02644  0.00289267
          56     3.03771     3.02664  0.00284801
          57     2.97946     3.02581  0.00291587
          58     3.04489     3.02614  0.00288409
          59     3.02839     3.02618  0.00283546
          60     3.02275     3.02612  0.00278877
          61     3.01711     3.02597  0.00274697
          62     3.03187     3.02607  0.00270431
          63     3.02219     3.02601  0.00266208
          64     3.06169     3.02657  0.00267825
          65     2.98651     3.02595  0.00270702
          66     2.98527     3.02533  0.00273527
          67     2.99223     3.02484   0.0027387
          68     3.04269      3.0251  0.00271099
          69     3.04065     3.02533  0.00268105
          70     3.00421     3.02502  0.00265967
          71      3.0344     3.02516  0.00262549
          72     3.01851     3.02506  0.00259064
          73     2.98992     3.02458  0.00259949
          74     2.99028     3.02412  0.00260537
          75     3.02846     3.02418  0.00257127
          76     3.02756     3.02422  0.00253783
          77     3.00644     3.02399  0.00251535
          78     3.05634     3.02441  0.00251707
          79     3.00968     3.02422  0.00249209
          80     3.00692       3.024  0.00247031
          81     3.03705     3.02416  0.00244506
          82     3.00326     3.02391  0.00242849
          83     3.03896     3.02409  0.00240599
          84     3.02167     3.02406  0.00237752
          85     3.01754     3.02399  0.00235078
          86     3.00385     3.02375  0.00233508
          87     3.01995     3.02371  0.00230864
          88     3.05413     3.02405  0.00230814
          89     3.03319     3.02416  0.00228449
          90     3.04015     3.02433  0.00226601
          91     3.05469     3.02467  0.00226554
          92     3.00627     3.02447  0.00224972
          93     3.02263     3.02445  0.00222561
          94     3.00904     3.02428  0.00220797
          95     2.99951     3.02402  0.00220007
          96     3.03281     3.02411  0.00217905
          97     2.97037     3.02356  0.00222592
          98     2.97929     3.02311  0.00224859
          99     3.02187      3.0231  0.00222591
         100     2.97584     3.02262  0.00225325
