#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     4.09504     4.09504           0
           2     4.09515      4.0951 4.03236e-05
           3     4.09534     4.09518 7.06277e-05
           4     4.09559     4.09528 0.000103707
           5     4.09591      4.0954 0.000139877
           6      4.0963     4.09555 0.000179037
           7     4.09676     4.09573 0.000221029
           8     4.09728     4.09592 0.000265699
           9     4.09788     4.09614 0.000312911
          10     4.09854     4.09638 0.000362543
          11     4.09928     4.09664 0.000414487
          12     4.10008     4.09693 0.000468649
          13     4.10095     4.09724 0.000524943
          14     4.10189     4.09757 0.000583293
          15      4.1029     4.09793 0.000643632
          16     4.10398      4.0983 0.000705899
          17     4.10513     4.09871 0.000770042
          18     4.10634     4.09913 0.000836005
          19     4.10763     4.09958 0.000903742
          20     4.10898     4.10005 0.000973207
          21      4.1104     4.10054  0.00104436
          22     4.11189     4.10106  0.00111715
          23     4.11345      4.1016  0.00119154
          24     4.11508     4.10216  0.00126751
          25     4.11678     4.10274  0.00134501
          26     4.11855     4.10335  0.00142402
          27     4.12038     4.10398   0.0015045
          28     4.12228     4.10463  0.00158643
          29     4.12426     4.10531  0.00166977
          30     4.12629     4.10601   0.0017545
          31      4.1284     4.10673   0.0018406
          32     4.13058     4.10748  0.00192804
          33     4.13282     4.10825  0.00201679
          34     4.13514     4.10904  0.00210683
          35     4.13751     4.10985  0.00219814
          36     4.13996     4.11069  0.00229069
          37     4.14248     4.11155  0.00238447
          38     4.14506     4.11243  0.00247944
          39     4.14771     4.11333  0.00257559
          40     4.15042     4.11426  0.00267288
          41      4.1532     4.11521  0.00277131
          42     4.15605     4.11618  0.00287084
          43     4.15896     4.11718  0.00297145
          44     4.16194     4.11819  0.00307312
          45     4.16498     4.11923  0.00317582
          46     4.16808      4.1203  0.00327953
          47     4.17125     4.12138  0.00338421
          48     4.17448     4.12249  0.00348986
          49     4.17778     4.12361  0.00359642
          50     4.18113     4.12476  0.00370389
          51     4.18455     4.12594  0.00381223
          52     4.18802     4.12713  0.00392141
          53     4.19155     4.12835   0.0040314
          54     4.19514     4.12958  0.00414217
          55     4.19879     4.13084  0.00425368
          56     4.20249     4.13212   0.0043659
          57     4.20624     4.13342  0.00447879
          58     4.21005     4.13474   0.0045923
          59     4.21391     4.13608  0.00470642
          60     4.21782     4.13745  0.00482108
          61     4.22177     4.13883  0.00493625
          62     4.22577     4.14023  0.00505187
          63     4.22981     4.14165  0.00516791
          64     4.23389     4.14309   0.0052843
          65     4.23801     4.14455    0.005401
          66     4.24217     4.14603  0.00551795
          67     4.24636     4.14753  0.00563509
          68     4.25057     4.14905  0.00575236
          69     4.25482     4.15058  0.00586968
          70     4.25908     4.15213  0.00598699
          71     4.26337      4.1537  0.00610422
          72     4.26767     4.15528  0.00622129
          73     4.27197     4.15688  0.00633812
          74     4.27629     4.15849  0.00645462
          75      4.2806     4.16012  0.00657071
          76     4.28491     4.16176  0.00668628
          77     4.28921     4.16342  0.00680123
          78     4.29349     4.16508  0.00691547
          79     4.29775     4.16676  0.00702888
          80     4.30198     4.16845  0.00714134
          81     4.30617     4.17015  0.00725273
          82     4.31031     4.17186  0.00736291
          83     4.31439     4.17358  0.00747176
          84     4.31841      4.1753  0.00757913
          85     4.32235     4.17703  0.00768486
          86     4.32621     4.17877  0.00778881
          87     4.32997     4.18051  0.00789079
          88     4.33362     4.18225  0.00799064
          89     4.33714     4.18399  0.00808817
          90     4.34053     4.18573   0.0081832
          91     4.34377     4.18746  0.00827551
          92     4.34684      4.1892  0.00836491
          93     4.34972     4.19092  0.00845118
