#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.311696   -0.311696           0
           2    -0.31036   -0.311028  0.00047246
           3   -0.308953   -0.310336 0.000646732
           4    -0.30747    -0.30962 0.000787589
           5   -0.305935   -0.308883 0.000911837
           6   -0.304349   -0.308127   0.0010263
           7   -0.302715   -0.307354  0.00113409
           8    -0.30104   -0.306565  0.00123684
           9   -0.299333   -0.305761  0.00133516
          10     -0.2976   -0.304945   0.0014295
          11   -0.295851   -0.304118  0.00151993
          12     -0.2941   -0.303283  0.00160626
          13   -0.292352   -0.302443  0.00168852
          14   -0.290613   -0.301598  0.00176673
          15   -0.288895   -0.300751  0.00184076
          16   -0.287202   -0.299904  0.00191059
          17   -0.285558    -0.29906   0.0019758
          18   -0.283957   -0.298221  0.00203641
          19   -0.282412   -0.297389  0.00209233
          20   -0.280934   -0.296566  0.00214338
          21   -0.279528   -0.295755   0.0021895
          22   -0.278207   -0.294957  0.00223054
          23   -0.276975   -0.294175  0.00226645
          24    -0.27583   -0.293411   0.0022973
          25   -0.274791   -0.292666    0.002323
          26   -0.273853   -0.291943  0.00234364
          27   -0.273022   -0.291242  0.00235928
          28   -0.272306   -0.290566  0.00236997
          29   -0.271702   -0.289915  0.00237584
          30   -0.271217   -0.289292  0.00237699
          31   -0.270841   -0.288697  0.00237366
          32   -0.270579    -0.28813  0.00236604
          33   -0.270429   -0.287594  0.00235436
          34   -0.270386   -0.287088  0.00233889
          35   -0.270451   -0.286613  0.00231986
          36   -0.270617   -0.286168  0.00229758
          37   -0.270885   -0.285755   0.0022723
          38    -0.27124   -0.285373  0.00224438
          39   -0.271687   -0.285022   0.0022141
          40   -0.272219   -0.284702  0.00218176
          41   -0.272824   -0.284412   0.0021477
          42     -0.2735   -0.284153  0.00211222
          43   -0.274238   -0.283922  0.00207565
          44   -0.275039    -0.28372  0.00203827
          45    -0.27589   -0.283546  0.00200039
          46   -0.276784   -0.283399  0.00196229
          47   -0.277725   -0.283278  0.00192425
          48   -0.278696   -0.283183  0.00188653
          49   -0.279701   -0.283112  0.00184937
          50   -0.280733   -0.283064  0.00181299
          51   -0.281785   -0.283039  0.00177762
          52   -0.282854   -0.283036  0.00174343
          53   -0.283942   -0.283053  0.00171062
          54   -0.285033   -0.283089  0.00167934
          55   -0.286134   -0.283145  0.00164972
          56   -0.287236   -0.283218  0.00162187
          57   -0.288344   -0.283308  0.00159591
          58   -0.289454   -0.283414  0.00157191
          59   -0.290562   -0.283535  0.00154993
          60   -0.291663    -0.28367  0.00153001
          61    -0.29276   -0.283819  0.00151216
          62    -0.29385   -0.283981   0.0014964
          63   -0.294933   -0.284155  0.00148271
          64   -0.296006    -0.28434  0.00147106
          65   -0.297072   -0.284536  0.00146141
          66   -0.298122   -0.284742  0.00145369
          67    -0.29916   -0.284957  0.00144784
          68    -0.30019   -0.285181  0.00144377
          69   -0.301209   -0.285413  0.00144141
          70   -0.302213   -0.285653  0.00144066
          71   -0.303193     -0.2859   0.0014414
          72   -0.304165   -0.286154  0.00144353
          73   -0.305112   -0.286414  0.00144692
          74   -0.306042   -0.286679  0.00145148
          75   -0.306955   -0.286949  0.00145709
          76   -0.307849   -0.287224  0.00146363
          77   -0.308726   -0.287504  0.00147102
          78    -0.30958   -0.287787  0.00147914
          79   -0.310413   -0.288073  0.00148789
          80   -0.311227   -0.288363  0.00149717
          81   -0.312014   -0.288654   0.0015069
          82   -0.312777   -0.288949  0.00151696
