#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.352427   -0.352427           0
           2   -0.327001   -0.339714  0.00898936
           3   -0.330586   -0.336671   0.0064875
           4   -0.370251   -0.345066  0.00874809
           5   -0.344818   -0.345017  0.00699861
           6   -0.340466   -0.344258  0.00587313
           7    -0.30973   -0.339326  0.00679683
           8   -0.350722    -0.34075  0.00609468
           9   -0.337836   -0.340426  0.00542609
          10   -0.298869   -0.336271  0.00627623
          11   -0.294002   -0.332428  0.00678068
          12   -0.334263   -0.332581  0.00621735
          13   -0.354085   -0.334235  0.00595508
          14   -0.362169    -0.33623  0.00585443
          15   -0.324467   -0.335446  0.00551642
          16   -0.311436   -0.333946  0.00537187
          17   -0.305385   -0.332266  0.00531209
          18   -0.334663   -0.332399  0.00501864
          19   -0.347042   -0.333169  0.00481332
          20    -0.36249   -0.334635  0.00479071
          21   -0.287188   -0.332376  0.00506743
          22   -0.356528   -0.333474  0.00495459
          23   -0.315197   -0.332679  0.00480247
          24   -0.315026   -0.331944  0.00465836
          25    -0.33071   -0.331894  0.00447228
          26   -0.329302   -0.331795  0.00430138
          27   -0.363643   -0.332974  0.00430077
          28   -0.334055   -0.333013  0.00414735
          29   -0.339255   -0.333228  0.00400992
          30   -0.308865   -0.332416  0.00395763
          31   -0.344651   -0.332811   0.0038496
          32   -0.358803   -0.333623  0.00381403
          33   -0.338265   -0.333764  0.00370105
          34   -0.363033   -0.334624  0.00369095
          35   -0.319193   -0.334184  0.00361173
          36   -0.372418   -0.335246  0.00366423
          37   -0.347861   -0.335587  0.00358103
          38   -0.342646   -0.335772  0.00349161
          39   -0.326152   -0.335526  0.00341078
          40   -0.329101   -0.335365  0.00332929
          41   -0.350083   -0.335724  0.00326738
          42   -0.330418   -0.335598  0.00319203
          43   -0.325974   -0.335374  0.00312563
          44   -0.335892   -0.335386  0.00305462
          45   -0.300602   -0.334613  0.00308299
          46   -0.324422   -0.334391  0.00302391
          47   -0.353527   -0.334798  0.00298686
          48   -0.356729   -0.335255  0.00295937
          49   -0.362948    -0.33582  0.00295245
          50   -0.355239   -0.336209  0.00291883
          51   -0.329315   -0.336074  0.00286472
          52   -0.304785   -0.335472  0.00287213
          53   -0.315531   -0.335096  0.00284247
          54   -0.289362   -0.334249  0.00291327
          55   -0.358591   -0.334691  0.00289373
          56   -0.345934   -0.334892  0.00284901
          57   -0.287681   -0.334064  0.00291695
          58   -0.353155   -0.334393  0.00288517
          59   -0.336705   -0.334432  0.00283653
          60   -0.331005   -0.334375  0.00278983
          61   -0.325341   -0.334227  0.00274802
          62    -0.34024   -0.334324  0.00270541
          63   -0.330539   -0.334264  0.00266314
          64    -0.36993   -0.334821   0.0026792
          65   -0.294752   -0.334205  0.00270797
          66   -0.293638    -0.33359   0.0027358
          67   -0.300439   -0.333095  0.00273935
          68   -0.351036   -0.333359  0.00271174
          69   -0.348832   -0.333583   0.0026817
          70   -0.312447   -0.333281  0.00266033
          71   -0.342565   -0.333412  0.00262607
          72   -0.326772    -0.33332  0.00259122
          73   -0.298135   -0.332838  0.00260016
          74     -0.2985   -0.332374   0.0026061
          75   -0.336812   -0.332433  0.00257202
          76   -0.335827   -0.332478  0.00253857
          77   -0.314605   -0.332246  0.00251619
          78   -0.364616   -0.332661  0.00251792
          79   -0.317939   -0.332474  0.00249294
          80   -0.315128   -0.332257  0.00247119
          81   -0.345381   -0.332419  0.00244598
          82   -0.311489   -0.332164  0.00242944
          83   -0.347205   -0.332345  0.00240692
          84   -0.329952   -0.332317  0.00237843
          85   -0.325759    -0.33224   0.0023517
          86   -0.312005   -0.332005   0.0023361
          87   -0.328113    -0.33196  0.00230967
          88   -0.362302   -0.332305  0.00230902
          89   -0.341437   -0.332407  0.00228535
          90   -0.348501   -0.332586  0.00226695
          91   -0.362997    -0.33292  0.00226653
          92   -0.314481    -0.33272  0.00225074
          93   -0.330934   -0.332701  0.00222662
          94   -0.317212   -0.332536  0.00220902
          95   -0.307739   -0.332275  0.00220114
          96   -0.341063   -0.332366  0.00218011
          97   -0.278702   -0.331813  0.00222673
          98    -0.28745    -0.33136  0.00224955
          99    -0.33007   -0.331347  0.00222687
         100   -0.284052   -0.330874  0.00225426
