#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.40907    -1.40907           0
           2    -1.40925    -1.40916  6.4681e-05
           3     -1.4095    -1.40928 0.000102904
           4    -1.40983    -1.40941 0.000141821
           5    -1.41021    -1.40957 0.000182867
           6    -1.41067    -1.40976 0.000226319
           7     -1.4112    -1.40996 0.000272197
           8     -1.4118    -1.41019 0.000320453
           9    -1.41246    -1.41044 0.000371011
          10     -1.4132    -1.41072 0.000423794
          11      -1.414    -1.41102 0.000478727
          12    -1.41487    -1.41134 0.000535739
          13    -1.41581    -1.41168 0.000594762
          14    -1.41682    -1.41205 0.000655735
          15    -1.41796    -1.41244 0.000720777
          16    -1.41911    -1.41286 0.000786924
          17    -1.42035     -1.4133 0.000855045
          18    -1.42168    -1.41377 0.000925748
          19    -1.42304    -1.41425 0.000997379
          20    -1.42446    -1.41476  0.00107013
          21    -1.42595     -1.4153   0.0011441
          22    -1.42752    -1.41585  0.00121958
          23    -1.42915    -1.41643  0.00129635
          24    -1.43085    -1.41703  0.00137447
          25    -1.43261    -1.41765  0.00145395
          26    -1.43445     -1.4183  0.00153479
          27    -1.43635    -1.41897  0.00161699
          28    -1.43832    -1.41966  0.00170055
          29    -1.44036    -1.42037  0.00178546
          30    -1.44247    -1.42111   0.0018717
          31    -1.44465    -1.42187  0.00195925
          32    -1.44689    -1.42265   0.0020481
          33     -1.4492    -1.42346  0.00213823
          34    -1.45158    -1.42428  0.00222962
          35    -1.45403    -1.42513  0.00232224
          36    -1.45652      -1.426  0.00241583
          37     -1.4591     -1.4269  0.00251065
          38    -1.46175    -1.42782  0.00260668
          39    -1.46446    -1.42876  0.00270389
          40    -1.46724    -1.42972  0.00280226
          41    -1.47009     -1.4307  0.00290175
          42      -1.473    -1.43171  0.00300234
          43    -1.47598    -1.43274    0.003104
          44    -1.47902    -1.43379  0.00320672
          45    -1.48212    -1.43487  0.00331045
          46    -1.48529    -1.43596  0.00341517
          47    -1.48852    -1.43708  0.00352086
          48    -1.49181    -1.43822  0.00362742
          49    -1.49513    -1.43938  0.00373468
          50    -1.49854    -1.44056  0.00384284
          51    -1.50202    -1.44177  0.00395188
          52    -1.50555      -1.443  0.00406176
          53    -1.50914    -1.44424  0.00417244
          54    -1.51278    -1.44551  0.00428388
          55    -1.51649     -1.4468  0.00439605
          56    -1.52024    -1.44812  0.00450891
          57    -1.52405    -1.44945  0.00462242
          58    -1.52791     -1.4508  0.00473654
          59    -1.53183    -1.45217  0.00485129
          60    -1.53579    -1.45357  0.00496655
          61    -1.53978    -1.45498  0.00508227
          62    -1.54383    -1.45641   0.0051984
          63    -1.54791    -1.45787  0.00531489
          64    -1.55203    -1.45934  0.00543167
          65    -1.55618    -1.46083   0.0055487
          66    -1.56037    -1.46234  0.00566592
          67    -1.56459    -1.46386  0.00578325
          68    -1.56883    -1.46541  0.00590063
          69    -1.57309    -1.46697  0.00601797
          70    -1.57738    -1.46854  0.00613522
          71    -1.58167    -1.47014  0.00625228
          72    -1.58595    -1.47174    0.006369
          73    -1.59023    -1.47337  0.00648528
          74    -1.59455    -1.47501  0.00660115
          75    -1.59886    -1.47666  0.00671653
          76    -1.60319    -1.47832  0.00683138
          77    -1.60749       -1.48  0.00694557
          78    -1.61175    -1.48169  0.00705894
