#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0980815   0.0980815           0
           2   0.0983817   0.0982316 0.000106161
           3   0.0986946   0.0983859 0.000144529
           4   0.0990199   0.0985444 0.000174894
           5   0.0993546   0.0987065 0.000201449
           6   0.0996979   0.0988717 0.000225693
           7    0.100049   0.0990398   0.0002483
           8    0.100405   0.0992105  0.00026962
           9    0.100766   0.0993834  0.00028982
          10     0.10113    0.099558 0.000309003
          11    0.101494    0.099734  0.00032721
          12    0.101856   0.0999108 0.000344437
          13    0.102216    0.100088 0.000360696
          14     0.10257    0.100265 0.000375986
          15    0.102918    0.100442 0.000390291
          16    0.103257    0.100618 0.000403603
          17    0.103584    0.100793 0.000415872
          18      0.1039    0.100965 0.000427092
          19    0.104201    0.101136 0.000437246
          20    0.104485    0.101303 0.000446311
          21    0.104752    0.101467 0.000454277
          22    0.104999    0.101628 0.000461126
          23    0.105226    0.101784 0.000466856
          24    0.105431    0.101936 0.000471476
          25    0.105612    0.102083 0.000474985
          26    0.105769    0.102225   0.0004774
          27    0.105901    0.102361 0.000478742
          28    0.106008    0.102491 0.000479032
          29    0.106089    0.102615 0.000478305
          30    0.106143    0.102733 0.000476593
          31    0.106171    0.102844 0.000473948
          32    0.106174    0.102948 0.000470421
          33     0.10615    0.103045 0.000466066
          34    0.106102    0.103135 0.000460948
          35    0.106029    0.103218 0.000455133
          36    0.105932    0.103293 0.000448691
          37    0.105811    0.103361 0.000441697
          38     0.10567    0.103422 0.000434232
          39    0.105507    0.103475 0.000426376
          40    0.105324    0.103521 0.000418213
          41    0.105122     0.10356 0.000409831
          42    0.104903    0.103592 0.000401318
          43    0.104668    0.103617 0.000392765
          44    0.104418    0.103636  0.00038426
          45    0.104155    0.103647 0.000375893
          46    0.103879    0.103652 0.000367756
          47    0.103591    0.103651 0.000359933
          48    0.103294    0.103644 0.000352512
          49    0.102987     0.10363 0.000345572
          50    0.102672    0.103611 0.000339191
          51     0.10235    0.103586  0.00033344
          52    0.102022    0.103556 0.000328382
          53    0.101688    0.103521 0.000324072
          54     0.10135    0.103481 0.000320554
          55    0.101009    0.103436 0.000317861
          56    0.100664    0.103386 0.000316016
          57    0.100316    0.103332 0.000315028
          58   0.0999665    0.103274 0.000314897
          59   0.0996152    0.103212 0.000315608
          60   0.0992633    0.103147 0.000317136
          61   0.0989108    0.103077 0.000319449
          62   0.0985582    0.103004 0.000322504
          63   0.0982059    0.102928 0.000326254
          64   0.0978542    0.102849 0.000330648
          65   0.0975033    0.102767 0.000335633
          66   0.0971542    0.102681 0.000341149
          67   0.0968068    0.102594 0.000347143
          68   0.0964609    0.102504 0.000353559
          69    0.096117    0.102411 0.000360348
          70   0.0957757    0.102316 0.000367456
          71   0.0954382    0.102219 0.000374833
          72   0.0951029    0.102121 0.000382436
          73   0.0947721     0.10202 0.000390221
          74   0.0944447    0.101918 0.000398148
          75   0.0941214    0.101814 0.000406182
          76   0.0938021    0.101708 0.000414291
          77   0.0934872    0.101601 0.000422443
          78   0.0931774    0.101493 0.000430612
          79   0.0928724    0.101384 0.000438771
          80   0.0925725    0.101274 0.000446898
          81   0.0922785    0.101163 0.000454971
          82   0.0919902    0.101051  0.00046297
          83   0.0917083    0.100939 0.000470878
          84   0.0914329    0.100825 0.000478677
          85   0.0911642    0.100712 0.000486353
          86   0.0909019    0.100598 0.000493893
          87   0.0906457    0.100483 0.000501289
          88   0.0903969    0.100369 0.000508527
          89   0.0901555    0.100254 0.000515599
          90   0.0899209    0.100139 0.000522496
          91   0.0896939    0.100024 0.000529212
          92   0.0894746   0.0999097 0.000535739
          93   0.0892624   0.0997952 0.000542074
          94   0.0890581    0.099681 0.000548209
          95   0.0888617   0.0995671 0.000554142
          96   0.0886725   0.0994536  0.00055987
          97   0.0884913   0.0993406 0.000565389
          98   0.0883182   0.0992281 0.000570698
          99   0.0881524   0.0991163 0.000575794
         100   0.0879941    0.099005 0.000580679
         101   0.0878441   0.0988945  0.00058535
         102   0.0877021   0.0987848 0.000589806
         103   0.0875674   0.0986759  0.00059405
         104   0.0874406   0.0985679  0.00059808
         105   0.0873214   0.0984608 0.000601899
         106   0.0872096   0.0983546 0.000605507
         107   0.0871054   0.0982495 0.000608907
         108   0.0870088   0.0981454 0.000612099
         109   0.0869193   0.0980424 0.000615087
         110   0.0868375   0.0979405 0.000617873
         111   0.0867633   0.0978399 0.000620457
         112   0.0866958   0.0977404 0.000622845
         113   0.0866359   0.0976421 0.000625037
         114   0.0865833   0.0975451 0.000627037
         115   0.0865368   0.0974494 0.000628849
         116   0.0864976   0.0973549 0.000630475
         117   0.0864655   0.0972619 0.000631919
         118   0.0864402   0.0971702 0.000633183
         119   0.0864211   0.0970798 0.000634273
         120   0.0864088   0.0969909  0.00063519
         121    0.086403   0.0969034 0.000635939
         122   0.0864037   0.0968173 0.000636524
         123   0.0864108   0.0967327 0.000636947
         124   0.0864239   0.0966496 0.000637212
         125   0.0864438    0.096568 0.000637324
         126   0.0864696   0.0964878 0.000637285
         127   0.0865015   0.0964092   0.0006371
         128   0.0865399   0.0963321 0.000636771
         129   0.0865843   0.0962565 0.000636302
         130   0.0866344   0.0961825 0.000635698
         131   0.0866903     0.09611 0.000634962
         132   0.0867518   0.0960391 0.000634097
         133    0.086819   0.0959698 0.000633107
         134   0.0868918   0.0959021 0.000631997
         135   0.0869698   0.0958359  0.00063077
         136    0.087053   0.0957713 0.000629429
