#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0966842   0.0966842           0
           2   0.0962906   0.0964874 0.000139148
           3   0.0951819   0.0960523 0.000367224
           4   0.0975818   0.0964346 0.000430719
           5   0.0956659   0.0962809 0.000371001
           6   0.0944259   0.0959717 0.000418619
           7   0.0959498   0.0959686 0.000358828
           8   0.0940795   0.0957325 0.000383887
           9   0.0951654   0.0956695 0.000346364
          10   0.0941895   0.0955215 0.000341888
          11   0.0922822    0.095227 0.000418852
          12   0.0973088   0.0954005 0.000418337
          13   0.0976375   0.0955726 0.000420059
          14    0.098898   0.0958101 0.000452254
          15   0.0954063   0.0957832 0.000422904
          16     0.09627   0.0958136 0.000397566
          17   0.0920272   0.0955909 0.000432089
          18   0.0923602   0.0954114 0.000443797
          19   0.0964717   0.0954672 0.000423934
          20   0.0978078   0.0955842 0.000418579
          21   0.0933863   0.0954796 0.000411523
          22    0.097432   0.0955683 0.000402273
          23   0.0944586   0.0955201 0.000387666
          24   0.0936489   0.0954421 0.000379272
          25   0.0960622   0.0954669 0.000364911
          26   0.0948454    0.095443 0.000351658
          27    0.098097   0.0955413 0.000352104
          28   0.0946823   0.0955106 0.000340863
          29   0.0964532   0.0955431 0.000330655
          30   0.0946405    0.095513 0.000320999
          31    0.093523   0.0954488 0.000316999
          32    0.094464   0.0954181 0.000308583
          33   0.0949507   0.0954039 0.000299557
          34   0.0962126   0.0954277 0.000291689
          35   0.0953441   0.0954253 0.000283365
          36   0.0956438   0.0954314 0.000275558
          37   0.0944513   0.0954049 0.000269381
          38   0.0986004    0.095489 0.000275105
          39    0.096267   0.0955089 0.000268773
          40   0.0953569   0.0955051 0.000262081
          41   0.0975072   0.0955539 0.000260198
          42   0.0954039   0.0955504 0.000254027
          43   0.0943934   0.0955235  0.00024954
          44   0.0947738   0.0955064  0.00024445
          45   0.0929577   0.0954498 0.000245491
          46   0.0939612   0.0954174 0.000242278
          47   0.0942701    0.095393  0.00023835
          48   0.0945367   0.0953752 0.000234051
          49   0.0946048   0.0953595 0.000229802
          50   0.0940249   0.0953328  0.00022675
          51   0.0925683   0.0952786 0.000228691
          52   0.0960027   0.0952925 0.000224717
          53   0.0939329   0.0952668 0.000221937
          54   0.0937671   0.0952391 0.000219557
          55   0.0951159   0.0952368 0.000215577
          56     0.09519    0.095236 0.000211729
          57   0.0965973   0.0952599 0.000209357
          58   0.0966612    0.095284 0.000207137
          59   0.0940889   0.0952638 0.000204614
          60   0.0930779   0.0952273 0.000204422
          61   0.0941991   0.0952105 0.000201764
          62   0.0948286   0.0952043 0.000198604
          63   0.0924084   0.0951599 0.000200348
          64   0.0938491   0.0951395 0.000198262
          65    0.094883   0.0951355 0.000195251
          66   0.0950926   0.0951349 0.000192294
          67   0.0921801   0.0950908 0.000194415
          68   0.0962573   0.0951079 0.000192312
          69   0.0985917   0.0951584  0.00019604
          70   0.0936582    0.095137 0.000194408
          71   0.0956794   0.0951446  0.00019182
          72    0.095786   0.0951535 0.000189362
          73   0.0949373   0.0951506 0.000186791
          74   0.0957115   0.0951581 0.000184421
          75   0.0949543   0.0951554 0.000181982
          76   0.0950673   0.0951543 0.000179591
          77   0.0949596   0.0951517 0.000177277
          78   0.0965248   0.0951693 0.000175876
          79   0.0947384   0.0951639 0.000173734
          80   0.0987677   0.0952089 0.000177306
          81   0.0959598   0.0952182 0.000175359
          82   0.0951949   0.0952179 0.000173221
          83   0.0982017   0.0952539 0.000174825
          84   0.0957516   0.0952598 0.000172844
          85   0.0951067    0.095258  0.00017082
          86   0.0964026   0.0952713 0.000169351
          87    0.094145   0.0952584 0.000167899
          88   0.0962269   0.0952694 0.000166351
          89   0.0961234    0.095279 0.000164758
          90   0.0972921   0.0953013 0.000164439
          91    0.094819    0.095296 0.000162718
          92   0.0965107   0.0953092 0.000161484
          93   0.0953283   0.0953094 0.000159747
          94   0.0942051   0.0952977 0.000158479
          95   0.0950075   0.0952946 0.000156841
          96   0.0957724   0.0952996 0.000155286
          97   0.0942417   0.0952887 0.000154068
          98   0.0958221   0.0952942 0.000152592
          99   0.0949172   0.0952903 0.000151098
         100   0.0963209   0.0953006 0.000149938
