#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.00321     2.00321           0
           2     2.00236     2.00279 0.000297659
           3     2.00147     2.00235 0.000408807
           4     2.00053     2.00189 0.000498421
           5     1.99955     2.00143 0.000578696
           6     1.99853     2.00094 0.000653513
           7     1.99747     2.00045 0.000724542
           8     1.99638     1.99994 0.000792602
           9     1.99526     1.99942  0.00085811
          10     1.99412     1.99889 0.000921269
          11     1.99297     1.99835 0.000982157
          12     1.99181      1.9978  0.00104077
          13     1.99064     1.99725  0.00109707
          14     1.98947      1.9967  0.00115097
          15     1.98831     1.99614  0.00120237
          16     1.98717     1.99558  0.00125116
          17     1.98604     1.99502  0.00129723
          18     1.98494     1.99446  0.00134047
          19     1.98388      1.9939  0.00138076
          20     1.98285     1.99335  0.00141801
          21     1.98186      1.9928  0.00145212
          22     1.98093     1.99226  0.00148302
          23     1.98005     1.99173  0.00151065
          24     1.97922     1.99121  0.00153497
          25     1.97846      1.9907  0.00155594
          26     1.97777      1.9902  0.00157356
          27     1.97714     1.98972  0.00158785
          28     1.97659     1.98925  0.00159883
          29     1.97612      1.9888  0.00160656
          30     1.97571     1.98836  0.00161112
          31     1.97539     1.98794  0.00161258
          32     1.97514     1.98754  0.00161108
          33     1.97496     1.98716  0.00160673
          34     1.97486      1.9868  0.00159968
          35     1.97483     1.98646  0.00159008
          36     1.97488     1.98613  0.00157811
          37     1.97499     1.98583  0.00156395
          38     1.97517     1.98555  0.00154778
          39     1.97541     1.98529  0.00152981
          40      1.9757     1.98505  0.00151023
          41     1.97606     1.98483  0.00148925
          42     1.97646     1.98463  0.00146708
          43     1.97691     1.98445  0.00144392
          44      1.9774     1.98429  0.00141997
          45     1.97793     1.98415  0.00139543
          46      1.9785     1.98403  0.00137049
          47      1.9791     1.98393  0.00134534
          48     1.97972     1.98384  0.00132015
          49     1.98037     1.98377   0.0012951
          50     1.98104     1.98371  0.00127035
          51     1.98173     1.98367  0.00124603
          52     1.98243     1.98365   0.0012223
          53     1.98314     1.98364  0.00119927
          54     1.98387     1.98364  0.00117707
          55     1.98459     1.98366   0.0011558
          56     1.98533     1.98369  0.00113554
          57     1.98606     1.98373  0.00111638
          58      1.9868     1.98379  0.00109839
          59     1.98754     1.98385  0.00108162
          60     1.98828     1.98392   0.0010661
          61     1.98901     1.98401  0.00105189
