#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.02944     2.02944           0
           2     2.01254     2.02099  0.00597627
           3     2.01487     2.01895   0.0043179
           4     2.04133     2.02454  0.00582792
           5     2.02437     2.02451  0.00466244
           6     2.02149     2.02401  0.00391241
           7     2.00097     2.02072  0.00453067
           8      2.0283     2.02166  0.00406226
           9     2.01975     2.02145  0.00361648
          10     1.99378     2.01868   0.0041813
          11     1.99054     2.01612  0.00451672
          12     2.01738     2.01623  0.00414154
          13      2.0305     2.01733  0.00396575
          14     2.03592     2.01866  0.00389862
          15     2.01083     2.01813  0.00367346
          16      2.0022     2.01714  0.00357638
          17     1.99809     2.01602   0.0035372
          18      2.0176     2.01611  0.00334179
          19     2.02586     2.01662  0.00320507
          20     2.03613     2.01759  0.00318991
          21     1.98596     2.01609  0.00337499
          22     2.03223     2.01682  0.00330038
          23     2.00468     2.01629  0.00319882
          24     2.00457     2.01581  0.00310258
          25     2.01495     2.01577  0.00297867
          26     2.01404     2.01571  0.00286485
          27     2.03687     2.01649  0.00286396
          28     2.01717     2.01651  0.00276178
          29     2.02075     2.01666  0.00267041
          30     2.00041     2.01612  0.00263576
          31     2.02428     2.01638  0.00256386
          32     2.03375     2.01692  0.00254054
          33     2.02001     2.01702  0.00246527
          34     2.03657     2.01759  0.00245889
          35     2.00724      2.0173  0.00240636
          36     2.04281     2.01801  0.00244162
          37     2.02641     2.01823  0.00238617
          38     2.02291     2.01836  0.00232655
          39     2.01189     2.01819  0.00227279
          40     2.01385     2.01808  0.00221856
          41     2.02788     2.01832  0.00217728
          42     2.01474     2.01823   0.0021271
          43     2.01176     2.01808  0.00208296
          44     2.01838     2.01809  0.00203563
          45     1.99492     2.01758   0.0020545
          46     2.01076     2.01743  0.00201517
          47     2.03023      2.0177  0.00199062
          48     2.03226       2.018  0.00197213
          49     2.03641     2.01838  0.00196734
          50     2.03129     2.01864  0.00194486
          51     2.01405     2.01855  0.00190881
          52      1.9977     2.01815  0.00191375
          53     2.00482      2.0179   0.0018941
          54     1.98739     2.01733  0.00194141
          55     2.03358     2.01763  0.00192845
          56     2.02514     2.01776  0.00189868
          57      1.9863     2.01721  0.00194391
          58     2.02993     2.01743  0.00192272
          59     2.01893     2.01745   0.0018903
          60     2.01516     2.01741  0.00185918
          61     2.01141     2.01732  0.00183131
          62     2.02125     2.01738  0.00180287
          63     2.01479     2.01734  0.00177472
          64     2.04113     2.01771   0.0017855
          65     1.99101      2.0173  0.00180468
          66     1.99018     2.01689  0.00182352
          67     1.99482     2.01656   0.0018258
          68     2.02846     2.01673  0.00180732
          69      2.0271     2.01688  0.00178737
          70     2.00281     2.01668  0.00177311
          71     2.02294     2.01677  0.00175032
          72     2.01234     2.01671   0.0017271
          73     1.99328     2.01639    0.001733
          74     1.99352     2.01608  0.00173691
          75     2.01897     2.01612  0.00171418
          76     2.01838     2.01615  0.00169188
          77     2.00429     2.01599   0.0016769
          78     2.03756     2.01627  0.00167804
          79     2.00646     2.01615   0.0016614
          80     2.00461       2.016  0.00164687
          81      2.0247     2.01611  0.00163004
          82     2.00218     2.01594  0.00161899
          83     2.02597     2.01606  0.00160399
          84     2.01445     2.01604  0.00158501
          85     2.01169     2.01599  0.00156719
          86     2.00257     2.01583  0.00155672
          87      2.0133     2.01581   0.0015391
          88     2.03608     2.01604  0.00153876
          89     2.02213      2.0161  0.00152299
          90     2.02677     2.01622  0.00151067
          91     2.03646     2.01644  0.00151036
          92     2.00418     2.01631  0.00149981
          93     2.01509      2.0163  0.00148374
          94     2.00602     2.01619  0.00147198
          95     1.99968     2.01602  0.00146671
          96     2.02188     2.01608   0.0014527
          97     1.98025     2.01571  0.00148395
          98     1.98619     2.01541  0.00149906
          99     2.01458      2.0154  0.00148394
         100     1.98389     2.01508  0.00150217
