#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.73003     2.73003           0
           2      2.7301     2.73006 2.68824e-05
           3     2.73022     2.73012 4.70852e-05
           4     2.73039     2.73019 6.91377e-05
           5     2.73061     2.73027 9.32514e-05
           6     2.73087     2.73037 0.000119358
           7     2.73117     2.73048 0.000147352
           8     2.73152     2.73061 0.000177133
           9     2.73192     2.73076 0.000208608
          10     2.73236     2.73092 0.000241695
          11     2.73285     2.73109 0.000276325
          12     2.73339     2.73129 0.000312433
          13     2.73397     2.73149 0.000349962
          14     2.73459     2.73171 0.000388862
          15     2.73527     2.73195 0.000429088
          16     2.73599      2.7322   0.0004706
          17     2.73675     2.73247 0.000513361
          18     2.73756     2.73275 0.000557337
          19     2.73842     2.73305 0.000602495
          20     2.73932     2.73336 0.000648805
          21     2.74027     2.73369 0.000696237
          22     2.74126     2.73404 0.000744765
          23      2.7423      2.7344 0.000794363
          24     2.74339     2.73477 0.000845008
          25     2.74452     2.73516 0.000896676
          26      2.7457     2.73557 0.000949348
          27     2.74692     2.73599    0.001003
          28     2.74819     2.73642  0.00105762
          29      2.7495     2.73687  0.00111318
          30     2.75086     2.73734  0.00116967
          31     2.75227     2.73782  0.00122707
          32     2.75372     2.73832  0.00128536
          33     2.75522     2.73883  0.00134453
          34     2.75676     2.73936  0.00140456
          35     2.75834      2.7399  0.00146543
          36     2.75997     2.74046  0.00152713
          37     2.76165     2.74103  0.00158964
          38     2.76337     2.74162  0.00165296
          39     2.76514     2.74222  0.00171706
          40     2.76695     2.74284  0.00178192
          41      2.7688     2.74347  0.00184754
          42      2.7707     2.74412  0.00191389
          43     2.77264     2.74478  0.00198097
          44     2.77462     2.74546  0.00204875
          45     2.77665     2.74616  0.00211721
          46     2.77872     2.74686  0.00218635
          47     2.78083     2.74759  0.00225614
          48     2.78299     2.74832  0.00232657
          49     2.78518     2.74908  0.00239762
          50     2.78742     2.74984  0.00246926
          51      2.7897     2.75062  0.00254149
          52     2.79201     2.75142  0.00261428
          53     2.79437     2.75223   0.0026876
          54     2.79676     2.75306  0.00276145
          55     2.79919     2.75389  0.00283579
          56     2.80166     2.75475   0.0029106
          57     2.80416     2.75561  0.00298586
          58      2.8067      2.7565  0.00306154
          59     2.80927     2.75739  0.00313761
          60     2.81188      2.7583  0.00321405
          61     2.81451     2.75922  0.00329083
          62     2.81718     2.76015  0.00336791
          63     2.81987      2.7611  0.00344527
          64     2.82259     2.76206  0.00352287
          65     2.82534     2.76304  0.00360067
          66     2.82811     2.76402  0.00367864
          67      2.8309     2.76502  0.00375673
          68     2.83372     2.76603   0.0038349
          69     2.83654     2.76705  0.00391312
          70     2.83939     2.76809  0.00399133
          71     2.84224     2.76913  0.00406948
          72     2.84511     2.77019  0.00414753
          73     2.84798     2.77125  0.00422541
          74     2.85086     2.77233  0.00430308
          75     2.85374     2.77341  0.00438047
          76     2.85661     2.77451  0.00445752
          77     2.85948     2.77561  0.00453416
          78     2.86233     2.77672  0.00461031
          79     2.86517     2.77784  0.00468592
          80     2.86799     2.77897  0.00476089
          81     2.87078      2.7801  0.00483515
          82     2.87354     2.78124  0.00490861
          83     2.87626     2.78239  0.00498118
          84     2.87894     2.78354  0.00505275
          85     2.88157     2.78469  0.00512324
          86     2.88414     2.78585  0.00519254
          87     2.88665       2.787  0.00526053
          88     2.88908     2.78816  0.00532709
          89     2.89143     2.78932  0.00539211
          90     2.89369     2.79048  0.00545546
          91     2.89585     2.79164  0.00551701
          92     2.89789      2.7928  0.00557661
          93     2.89981     2.79395  0.00563412
          94      2.9016     2.79509  0.00568939
          95     2.90324     2.79623  0.00574226
          96     2.90472     2.79736  0.00579258
          97     2.90602     2.79848  0.00584017
          98     2.90713     2.79959  0.00588486
          99     2.90803     2.80069  0.00592648
         100     2.90871     2.80177  0.00596484
         101     2.90914     2.80283  0.00599978
         102     2.90931     2.80387  0.00603109
         103      2.9092      2.8049   0.0060586
         104     2.90878     2.80589  0.00608213
         105     2.90803     2.80687   0.0061015
         106     2.90694     2.80781  0.00611653
         107     2.90547     2.80872  0.00612708
         108     2.90359      2.8096  0.00613299
         109     2.90129     2.81044  0.00613414
         110     2.89853     2.81124  0.00613042
         111     2.89528       2.812  0.00612176
         112     2.89152     2.81271  0.00610813
         113     2.88721     2.81337  0.00608955
         114     2.88231     2.81398  0.00606608
         115     2.87681     2.81452  0.00603789
         116     2.87066     2.81501  0.00600521
         117     2.86384     2.81542  0.00596837
         118      2.8563     2.81577  0.00592783
         119     2.84802     2.81604  0.00588421
         120     2.83897     2.81623  0.00583828
         121     2.82911     2.81634    0.005791
         122     2.81842     2.81635  0.00574355
         123     2.80688     2.81628  0.00569738
         124     2.79445      2.8161  0.00565415
         125     2.78113     2.81582  0.00561583
         126     2.76689     2.81543  0.00558467
         127     2.75173     2.81493  0.00556318
         128     2.73565     2.81431  0.00555409
