#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     2.69173     2.69173           0
           2      2.6918     2.69177 2.49622e-05
           3     2.69172     2.69175 2.06699e-05
           4     2.69174     2.69175 1.56485e-05
           5     2.69173     2.69175 1.30129e-05
           6     2.69177     2.69175 1.14146e-05
           7     2.69173     2.69175 1.02438e-05
           8     2.69172     2.69174 9.35111e-06
           9     2.69178     2.69175 9.20777e-06
          10      2.6918     2.69175 9.83944e-06
          11      2.6918     2.69176 9.92948e-06
          12     2.69181     2.69176 1.00647e-05
          13     2.69166     2.69176 1.18706e-05
          14     2.69172     2.69175 1.13258e-05
          15     2.69178     2.69175 1.06714e-05
          16     2.69186     2.69176 1.17892e-05
          17     2.69175     2.69176 1.11246e-05
          18     2.69174     2.69176  1.0551e-05
          19     2.69174     2.69176 1.00288e-05
          20     2.69171     2.69176 9.78879e-06
          21     2.69175     2.69176  9.3238e-06
          22     2.69182     2.69176 9.31805e-06
          23     2.69182     2.69176 9.33536e-06
          24     2.69184     2.69176 9.44594e-06
          25     2.69172     2.69176 9.22229e-06
          26     2.69176     2.69176 8.86758e-06
          27     2.69166     2.69176 9.34354e-06
          28      2.6917     2.69176 9.20968e-06
          29     2.69187     2.69176 9.69448e-06
          30     2.69175     2.69176 9.37954e-06
          31     2.69177     2.69176 9.08633e-06
          32     2.69182     2.69176 8.99614e-06
          33     2.69174     2.69176 8.74238e-06
          34     2.69181     2.69176 8.61787e-06
          35     2.69166     2.69176 8.82761e-06
          36     2.69179     2.69176 8.62132e-06
          37     2.69175     2.69176 8.39467e-06
          38     2.69172     2.69176 8.23495e-06
          39     2.69169     2.69176  8.2464e-06
          40     2.69167     2.69176 8.31657e-06
          41     2.69173     2.69176 8.13475e-06
          42      2.6917     2.69175 8.05497e-06
          43     2.69166     2.69175 8.16827e-06
          44     2.69168     2.69175 8.16653e-06
          45     2.69177     2.69175 8.00187e-06
          46     2.69172     2.69175 7.85363e-06
          47     2.69182     2.69175 7.81705e-06
          48     2.69166     2.69175 7.86536e-06
          49     2.69167     2.69175 7.86806e-06
          50     2.69169     2.69175 7.78466e-06
          51     2.69176     2.69175  7.6363e-06
          52     2.69176     2.69175 7.49257e-06
          53      2.6917     2.69175 7.41706e-06
          54     2.69173     2.69175 7.28604e-06
          55     2.69177     2.69175 7.16828e-06
          56     2.69178     2.69175 7.05869e-06
          57     2.69178     2.69175 6.95124e-06
          58     2.69173     2.69175 6.83605e-06
          59     2.69168     2.69175 6.80595e-06
          60     2.69174     2.69175 6.69289e-06
          61     2.69177     2.69175 6.59183e-06
          62     2.69163     2.69175 6.74995e-06
          63     2.69165     2.69174 6.80557e-06
          64     2.69177     2.69174 6.70745e-06
          65     2.69176     2.69174 6.60683e-06
          66     2.69163     2.69174 6.72488e-06
          67     2.69179     2.69174 6.66494e-06
          68     2.69166     2.69174 6.68858e-06
          69     2.69182     2.69174 6.69258e-06
          70     2.69176     2.69174 6.60348e-06
          71     2.69184     2.69174 6.64684e-06
          72     2.69174     2.69174 6.55558e-06
          73     2.69179     2.69175 6.49335e-06
          74     2.69178     2.69175 6.42278e-06
          75     2.69165     2.69174 6.47323e-06
          76     2.69174     2.69174  6.3889e-06
          77     2.69184     2.69175 6.41688e-06
          78     2.69173     2.69175 6.33932e-06
          79     2.69175     2.69175 6.25908e-06
          80     2.69179     2.69175 6.20862e-06
          81     2.69167     2.69174 6.19557e-06
          82     2.69178     2.69175 6.13139e-06
          83     2.69175     2.69175 6.05841e-06
          84     2.69172     2.69175  5.9946e-06
          85     2.69178     2.69175 5.94092e-06
          86     2.69185     2.69175 5.99317e-06
          87     2.69184     2.69175 6.02158e-06
          88     2.69182     2.69175 6.01409e-06
          89     2.69176     2.69175   5.947e-06
          90     2.69165     2.69175 5.98383e-06
          91      2.6917     2.69175 5.94332e-06
          92     2.69179     2.69175 5.89713e-06
          93      2.6917     2.69175 5.85508e-06
          94     2.69182     2.69175 5.84959e-06
          95     2.69178     2.69175  5.7955e-06
          96     2.69175     2.69175 5.73526e-06
          97     2.69167     2.69175 5.73862e-06
          98     2.69184     2.69175 5.75005e-06
          99      2.6918     2.69175 5.71402e-06
         100     2.69179     2.69175  5.6721e-06
