#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     2.68597     2.68597           0
           2      2.6859     2.68593 2.43574e-05
           3     2.68583      2.6859 3.24734e-05
           4     2.68576     2.68587 3.85053e-05
           5     2.68569     2.68583 4.35603e-05
           6     2.68562      2.6858 4.80172e-05
           7     2.68556     2.68576 5.20572e-05
           8     2.68549     2.68573  5.5784e-05
           9     2.68542     2.68569 5.92632e-05
          10     2.68535     2.68566 6.25402e-05
          11     2.68528     2.68562 6.56475e-05
          12     2.68521     2.68559 6.86097e-05
          13     2.68514     2.68556 7.14458e-05
          14     2.68507     2.68552  7.4171e-05
          15     2.68494     2.68548 7.86762e-05
          16     2.68487     2.68544 8.25003e-05
          17     2.68478     2.68541 8.64269e-05
          18     2.68466     2.68536 9.10485e-05
          19     2.68459     2.68532 9.49442e-05
          20     2.68452     2.68528 9.83113e-05
          21     2.68445     2.68524 0.000101284
          22     2.68437      2.6852 0.000104111
          23      2.6843     2.68516  0.00010667
          24     2.68424     2.68513 0.000109017
          25     2.68417     2.68509 0.000111194
          26      2.6841     2.68505 0.000113234
          27     2.68403     2.68501  0.00011516
          28     2.68396     2.68497 0.000116993
          29     2.68389     2.68494 0.000118746
          30     2.68383      2.6849 0.000120432
          31     2.68376     2.68486 0.000122059
          32     2.68369     2.68483 0.000123635
          33     2.68362     2.68479 0.000125165
          34     2.68355     2.68475 0.000126656
          35     2.68349     2.68472 0.000128109
          36     2.68345     2.68468 0.000129335
          37     2.68338     2.68465 0.000130555
          38     2.68331     2.68461 0.000131766
          39     2.68324     2.68458 0.000132969
          40     2.68318     2.68454  0.00013416
          41     2.68311     2.68451  0.00013534
          42     2.68305     2.68447 0.000136507
          43     2.68298     2.68444 0.000137658
          44     2.68292      2.6844 0.000138795
          45     2.68285     2.68437 0.000139914
          46     2.68279     2.68433 0.000141014
          47     2.68273      2.6843 0.000142095
          48     2.68268     2.68427  0.00014311
          49     2.68265     2.68423 0.000143942
          50     2.68259      2.6842 0.000144771
          51     2.68253     2.68417 0.000145592
          52     2.68247     2.68414 0.000146403
          53     2.68241      2.6841   0.0001472
          54     2.68236     2.68407  0.00014798
          55      2.6823     2.68404  0.00014874
          56     2.68225     2.68401 0.000149478
          57      2.6822     2.68397 0.000150191
          58     2.68214     2.68394 0.000150885
          59     2.68208     2.68391 0.000151604
          60     2.68203     2.68388 0.000152285
          61     2.68198     2.68385 0.000152924
          62     2.68194     2.68382 0.000153519
          63      2.6819     2.68379 0.000154068
          64     2.68186     2.68376 0.000154569
          65     2.68183     2.68373 0.000155017
          66     2.68179      2.6837 0.000155412
          67     2.68176     2.68367 0.000155749
          68     2.68174     2.68364 0.000156021
          69     2.68172     2.68361 0.000156218
          70     2.68171     2.68359 0.000156345
          71      2.6817     2.68356 0.000156388
          72     2.68171     2.68353 0.000156303
          73     2.68174     2.68351 0.000156079
          74     2.68174     2.68349 0.000155785
          75     2.68174     2.68346 0.000155431
          76     2.68172     2.68344 0.000155058
          77     2.68172     2.68342  0.00015464
          78     2.68174      2.6834 0.000154143
          79     2.68177     2.68338  0.00015356
          80     2.68181     2.68336 0.000152885
          81     2.68187     2.68334   0.0001521
          82     2.68191     2.68332 0.000151232
          83     2.68198      2.6833  0.00015027
          84     2.68204     2.68329 0.000149231
          85     2.68212     2.68327 0.000148105
          86     2.68222     2.68326 0.000146894
          87     2.68232     2.68325 0.000145604
          88     2.68244     2.68324 0.000144239
          89     2.68257     2.68323 0.000142814
          90     2.68272     2.68323  0.00014134
          91     2.68289     2.68323 0.000139836
          92     2.68307     2.68322 0.000138326
          93     2.68327     2.68322  0.00013684
          94     2.68349     2.68323 0.000135414
          95     2.68373     2.68323 0.000134092
          96     2.68399     2.68324 0.000132926
          97     2.68427     2.68325 0.000131982
          98     2.68458     2.68326 0.000131333
          99     2.68492     2.68328 0.000131061
         100     2.68528      2.6833 0.000131264
         101     2.68567     2.68332 0.000132044
         102     2.68609     2.68335 0.000133513
         103     2.68655     2.68338 0.000135787
         104     2.68704     2.68342 0.000138969
         105     2.68757     2.68346 0.000143166
         106     2.68813      2.6835 0.000148446
         107     2.68873     2.68355  0.00015489
         108     2.68936      2.6836 0.000162528
         109     2.69004     2.68366 0.000171441
         110     2.69077     2.68373 0.000181634
         111     2.69153      2.6838 0.000193118
         112     2.69235     2.68387 0.000205935
         113     2.69321     2.68396 0.000220061
         114     2.69412     2.68405 0.000235501
         115     2.69508     2.68414 0.000252247
         116     2.69608     2.68425 0.000270242
         117     2.69713     2.68436  0.00028949
         118     2.69821     2.68447 0.000309946
         119     2.69936      2.6846 0.000331624
         120     2.70056     2.68473 0.000354526
         121      2.7018     2.68487 0.000378624
         122     2.70308     2.68502 0.000403867
         123      2.7044     2.68518 0.000430207
         124     2.70574     2.68534 0.000457573
         125      2.7071     2.68552 0.000485895
         126     2.70848      2.6857 0.000515077
         127     2.70986     2.68589 0.000545014
         128     2.71123     2.68609 0.000575598
         129     2.71259     2.68629  0.00060669
         130     2.71391     2.68651 0.000638137
         131     2.71521     2.68673 0.000669818
         132     2.71641     2.68695 0.000701484
         133     2.71754     2.68718 0.000732936
         134     2.71855     2.68742 0.000763945
         135     2.71944     2.68765 0.000794257
         136     2.72017     2.68789  0.00082361
         137     2.72072     2.68813 0.000851746
         138     2.72109     2.68837 0.000878411
         139     2.72123     2.68861 0.000903347
         140     2.72115     2.68884 0.000926312
         141     2.72079     2.68907 0.000947058
         142     2.72016     2.68928 0.000965379
         143     2.71924     2.68949 0.000981097
         144     2.71805     2.68969 0.000994118
         145     2.71653     2.68988  0.00100434
         146      2.7147     2.69005  0.00101176
         147     2.71258      2.6902  0.00101642
         148     2.71017     2.69034  0.00101847
         149     2.70749     2.69045  0.00101812
         150     2.70456     2.69054  0.00101567
         151      2.7014     2.69062  0.00101148
         152     2.69805     2.69067  0.00100601
         153     2.69455     2.69069 0.000999754
         154     2.69094     2.69069 0.000993263
         155     2.68727     2.69067 0.000987101
         156     2.68357     2.69062 0.000981821
         157      2.6799     2.69056  0.00097794
         158      2.6763     2.69047 0.000975905
         159     2.67282     2.69036 0.000976059
         160      2.6695     2.69022 0.000978621
         161     2.66639     2.69008  0.00098368
         162     2.66349     2.68991 0.000991208
         163     2.66085     2.68973  0.00100103
         164     2.65849     2.68954   0.0010129
         165     2.65644     2.68934  0.00102644
         166     2.65468     2.68913  0.00104128
         167     2.65325     2.68892  0.00105698
         168     2.65213      2.6887  0.00107313
         169     2.65133     2.68848  0.00108933
         170     2.65082     2.68826  0.00110522
         171      2.6506     2.68804  0.00112049
         172     2.65065     2.68782  0.00113486
         173     2.65096     2.68761  0.00114813
         174     2.65149      2.6874  0.00116014
         175     2.65224      2.6872  0.00117078
         176     2.65318     2.68701  0.00117998
         177     2.65429     2.68682   0.0011877
         178     2.65555     2.68664  0.00119395
         179     2.65693     2.68648  0.00119877
         180     2.65841     2.68632  0.00120221
         181     2.65998     2.68618  0.00120435
         182     2.66161     2.68604  0.00120527
         183     2.66329     2.68592  0.00120508
         184       2.665      2.6858  0.00120388
         185     2.66673      2.6857  0.00120178
         186     2.66845     2.68561  0.00119889
         187     2.67017     2.68553  0.00119532
         188     2.67188     2.68545  0.00119116
         189     2.67354     2.68539  0.00118653
         190     2.67518     2.68534   0.0011815
         191     2.67677     2.68529  0.00117616
         192     2.67829     2.68526   0.0011706
         193     2.67977     2.68523  0.00116488
