#     TEMP:    TE_AVE:      ERROR:
           2   0.0267846 0.000949898
       1.925   0.0298566  0.00104155
        1.85   0.0301883  0.00105437
       1.775   0.0345369  0.00103038
         1.7   0.0379805   0.0011398
       1.625   0.0432973  0.00124448
        1.55   0.0429605  0.00132571
       1.475   0.0518715  0.00166482
         1.4   0.0582164  0.00180114
       1.325   0.0702926  0.00191119
        1.25   0.0797594  0.00212286
       1.175   0.0925881  0.00255465
         1.1    0.109291  0.00345829
       1.025    0.135814  0.00415192
        0.95    0.176147  0.00457621
       0.875    0.228469  0.00562179
         0.8    0.298668  0.00680315
       0.725     0.38864    0.010387
        0.65    0.537956   0.0152003
       0.575     0.73552   0.0149932
         0.5    0.905991   0.0124995
