#     TEMP:    TE_AVE:      ERROR:
           2    0.196611 6.18178e-05
       1.925    0.208404 5.63736e-05
        1.85    0.221061 8.10727e-05
       1.775    0.234533 7.72837e-05
         1.7    0.249391 9.95451e-05
       1.625    0.264818 0.000115835
        1.55    0.281909 0.000136145
       1.475    0.299443 0.000153848
         1.4    0.318391 0.000181717
       1.325    0.337709 0.000210742
        1.25    0.357673 0.000259658
       1.175    0.377239 0.000320794
         1.1    0.397661 0.000373163
       1.025    0.414585 0.000483057
        0.95    0.428672 0.000684397
       0.875    0.437449  0.00100024
         0.8    0.439815  0.00117691
       0.725    0.423725  0.00205241
        0.65    0.391173  0.00355289
       0.575    0.317177  0.00543967
         0.5    0.203443  0.00775051
