#     TEMP:    TE_AVE:      ERROR:
           2     1.54873   0.0752932
       1.925     1.69023   0.0810653
        1.85     1.81871   0.0866515
       1.775     1.97213    0.092952
         1.7     2.15565    0.100239
       1.625     2.38287    0.108681
        1.55     2.63926    0.118085
       1.475     2.91289    0.127984
         1.4      3.2871    0.140291
       1.325     3.75605    0.153976
        1.25     4.31559    0.170191
       1.175     5.02739    0.187984
         1.1      5.9626    0.210254
       1.025     7.35149    0.236906
        0.95     9.16085     0.26332
       0.875     11.7892    0.297041
         0.8     15.7144    0.313072
       0.725     22.4437    0.289963
        0.65     33.2534    0.290435
       0.575     51.9839    0.619563
         0.5     79.1825    0.856237
