#     TEMP:    TE_AVE:      ERROR:
           2   -0.462115 0.000267261
       1.925   -0.477208 0.000218848
        1.85   -0.493366 0.000281243
       1.775   -0.510948  0.00023818
         1.7   -0.528443 0.000271957
       1.625   -0.548368 0.000278508
        1.55   -0.568072 0.000288077
       1.475   -0.590353 0.000283596
         1.4   -0.613144 0.000290358
       1.325   -0.638045 0.000289879
        1.25   -0.664174 0.000305359
       1.175   -0.692217 0.000320301
         1.1   -0.720292 0.000313232
       1.025   -0.751276 0.000337819
        0.95   -0.783012 0.000394617
       0.875    -0.81551 0.000469841
         0.8   -0.847643 0.000444198
       0.725   -0.881613 0.000611393
        0.65   -0.913598 0.000820194
       0.575   -0.946067 0.000950914
         0.5   -0.974187 0.000996948
