#     TEMP:    TE_AVE:      ERROR:
           2    0.027511 0.000651726
       1.925   0.0298263  0.00077658
        1.85    0.032887 0.000802681
       1.775   0.0358866  0.00082138
         1.7   0.0380035 0.000979817
       1.625    0.042727  0.00104081
        1.55   0.0458472  0.00118111
       1.475   0.0520748  0.00118076
         1.4   0.0603141  0.00117955
       1.325   0.0676547  0.00150984
        1.25    0.078997  0.00155823
       1.175   0.0932434  0.00217799
         1.1      0.1129  0.00252428
       1.025    0.138351  0.00336175
        0.95     0.16899  0.00417619
       0.875    0.219842  0.00445252
         0.8    0.282938  0.00622746
       0.725    0.381593  0.00717331
        0.65    0.544479    0.010067
       0.575    0.740753   0.0108208
         0.5    0.897874   0.0100446
