#     TEMP:    TE_AVE:      ERROR:
           2     0.19657 5.06947e-05
       1.925     0.20835 6.37354e-05
        1.85    0.221047 7.53364e-05
       1.775    0.234618 6.76234e-05
         1.7    0.249375 9.64866e-05
       1.625    0.265124 9.66282e-05
        1.55    0.281779 0.000118253
       1.475     0.29971 0.000127355
         1.4    0.318292 0.000179101
       1.325    0.337743  0.00020213
        1.25    0.357856 0.000230725
       1.175    0.378306 0.000300661
         1.1    0.396718 0.000347418
       1.025    0.414378 0.000481818
        0.95    0.429754 0.000667762
       0.875    0.437009 0.000887449
         0.8    0.436973  0.00124615
       0.725    0.423904   0.0014303
        0.65    0.393568  0.00262745
       0.575    0.317168  0.00385066
         0.5    0.203281  0.00586477
