#     TEMP:    TE_AVE:      ERROR:
           2     1.55381   0.0755247
       1.925     1.67458   0.0807149
        1.85     1.81031   0.0865274
       1.775     1.98197    0.093311
         1.7     2.15143    0.100285
       1.625     2.36888    0.108695
        1.55     2.62888    0.118052
       1.475     2.92045    0.128407
         1.4      3.3056    0.140889
       1.325     3.73669      0.1544
        1.25     4.31653    0.171087
       1.175     5.05217    0.190425
         1.1     6.00769    0.212224
       1.025     7.27159      0.2362
        0.95     8.95847      0.2669
       0.875     11.7065    0.299222
         0.8     15.7698    0.327111
       0.725      22.296    0.375027
        0.65     32.9443    0.326308
       0.575     52.2697    0.207538
         0.5     79.2395    0.457798
