#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.23927     1.23927           0
           2     1.11441     1.17684    0.044144
           3     1.21034     1.18801   0.0308093
           4     1.17995     1.18599   0.0231727
           5     1.32739     1.21427   0.0313597
           6     1.12315     1.19909   0.0295828
           7     1.16309     1.19394   0.0257997
           8     1.27835      1.2045    0.024638
           9     1.16934     1.20059   0.0222079
          10     1.30579     1.21111   0.0223404
          11     1.26105     1.21565   0.0207657
          12     1.23515     1.21727   0.0190987
          13     1.16151     1.21298   0.0181049
          14     1.23982      1.2149   0.0169128
          15     1.24235     1.21673    0.015884
          16     1.29076     1.22136   0.0155504
          17     1.12263     1.21555   0.0156826
          18     1.28107     1.21919   0.0152279
          19     1.18508     1.21739   0.0145319
          20     1.12947       1.213   0.0144549
          21     1.15173     1.21008   0.0140579
          22     1.20716     1.20995   0.0134196
          23     1.27195     1.21264   0.0131041
          24     1.25856     1.21456    0.012697
          25     1.22781     1.21509   0.0122002
          26     1.17353     1.21349   0.0118352
          27     1.28282     1.21606   0.0116721
          28     1.24121     1.21696   0.0112898
          29     1.23362     1.21753   0.0109151
          30     1.21606     1.21748   0.0105513
          31     1.32687     1.22101   0.0107849
          32     1.17508     1.21957   0.0105429
          33     1.16845     1.21803   0.0103367
          34     1.16984     1.21661   0.0101293
          35     1.22936     1.21697  0.00984648
          36     1.13686     1.21475  0.00982125
          37     1.20449     1.21447  0.00955972
          38     1.23059     1.21489  0.00931755
          39     1.20201     1.21456   0.0090845
          40     1.27486     1.21607  0.00898157
          41      1.2968     1.21804  0.00897576
          42     1.20715     1.21778  0.00876579
          43     1.27797     1.21918  0.00867296
          44     1.29996     1.22102  0.00866798
          45     1.28041     1.22234  0.00857524
          46     1.15879     1.22095  0.00849938
          47     1.30641     1.22277   0.0085108
          48     1.20586     1.22242  0.00834079
          49     1.32816     1.22458  0.00844509
          50     1.08387     1.22176   0.0087325
          51     1.28908     1.22308  0.00866044
          52     1.31559     1.22486  0.00867467
          53     1.26017     1.22553  0.00853654
          54     1.30416     1.22698  0.00850175
          55     1.32154      1.2287  0.00851923
          56     1.31576     1.23026  0.00850777
          57     1.30061     1.23149  0.00844756
          58      1.2488     1.23179  0.00830717
          59     1.24859     1.23208  0.00817126
          60     1.19716     1.23149  0.00805576
          61     1.18875     1.23079  0.00795413
          62     1.22721     1.23074  0.00782604
          63      1.1966     1.23019  0.00772055
          64     1.23828     1.23032  0.00760095
          65     1.07575     1.22794  0.00784721
          66      1.1099     1.22615   0.0079295
          67     1.27478     1.22688   0.0078443
          68     1.19626     1.22643  0.00774185
          69     1.26115     1.22693  0.00764598
          70      1.1843     1.22632  0.00756097
          71     1.26827     1.22691  0.00747752
          72     1.11783      1.2254  0.00752558
          73     1.14623     1.22431  0.00750022
          74     1.12658     1.22299  0.00751425
          75     1.14233     1.22192  0.00749064
          76     1.23775     1.22213  0.00739497
          77     1.14837     1.22117  0.00736071
          78     1.30735     1.22227   0.0073488
          79     1.16707     1.22157  0.00728893
          80     1.14444     1.22061  0.00726131
          81     1.19317     1.22027  0.00717956
          82     1.25463     1.22069  0.00710422
          83     1.13827      1.2197  0.00708769
          84     1.20803     1.21956  0.00700467
          85     1.14553     1.21869   0.0069762
          86     1.20049     1.21848  0.00689829
          87     1.22202     1.21852  0.00681912
          88     1.21308     1.21846  0.00674191
          89     1.30156     1.21939   0.0067305
          90     1.23386     1.21955  0.00665764
          91      1.2982     1.22041  0.00664034
          92     1.20888     1.22029  0.00656935
          93     1.19746     1.22004  0.00650329
          94     1.14931     1.21929   0.0064775
          95      1.2725     1.21985  0.00643348
          96     1.28544     1.22053  0.00640264
          97     1.18481     1.22017  0.00634722
          98      1.2053     1.22001  0.00628427
          99     1.19197     1.21973  0.00622717
         100     1.22854     1.21982  0.00616552
