#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1       1.985       1.985           0
           2     1.98493     1.98496 2.52582e-05
           3     1.98471     1.98488 7.00407e-05
           4     1.98436     1.98475 0.000124836
           5     1.98386     1.98457 0.000188185
           6     1.98322     1.98435 0.000259181
           7     1.98243     1.98407 0.000337231
           8     1.98149     1.98375 0.000421935
           9     1.98041     1.98338 0.000513021
          10     1.97917     1.98296 0.000610311
          11     1.97778     1.98249   0.0007137
          12     1.97623     1.98196 0.000823136
          13     1.97451     1.98139  0.00093862
          14     1.97262     1.98076  0.00106012
          15     1.97056     1.98008   0.0011877
          16     1.96833     1.97935  0.00132145
          17      1.9659     1.97856  0.00146148
          18     1.96328     1.97771  0.00160789
          19     1.96047      1.9768  0.00176083
          20     1.95744     1.97583  0.00192053
          21      1.9542      1.9748  0.00208721
          22     1.95073     1.97371  0.00226111
          23     1.94702     1.97255  0.00244249
          24     1.94307     1.97132   0.0026316
          25     1.93885     1.97002   0.0028287
          26     1.93437     1.96865  0.00303407
          27     1.92961     1.96721  0.00324801
          28     1.92456     1.96568  0.00347084
          29     1.91919     1.96408  0.00370289
          30     1.91352     1.96239  0.00394444
          31     1.90751     1.96062  0.00419582
          32     1.90115     1.95876  0.00445735
          33     1.89443     1.95682  0.00472938
          34     1.88734     1.95477  0.00501228
          35     1.87986     1.95263  0.00530641
          36     1.87197     1.95039  0.00561213
          37     1.86366     1.94805  0.00592979
          38     1.85492      1.9456  0.00625968
          39     1.84574     1.94304  0.00660211
          40     1.83609     1.94036  0.00695736
          41     1.82598     1.93757  0.00732568
          42     1.81538     1.93466  0.00770733
          43     1.80429     1.93163   0.0081025
          44      1.7927     1.92847  0.00851137
          45      1.7806     1.92519  0.00893405
          46     1.76799     1.92177  0.00937064
          47     1.75486     1.91822  0.00982116
          48     1.74122     1.91453   0.0102856
          49     1.72706     1.91071   0.0107638
          50     1.71239     1.90674   0.0112555
          51     1.69723     1.90263   0.0117607
          52     1.68158     1.89838   0.0122788
          53     1.66546     1.89399   0.0128094
          54     1.64889     1.88945   0.0133521
          55     1.63189     1.88476   0.0139063
          56     1.61449     1.87994   0.0144713
          57     1.59673     1.87497   0.0150462
          58     1.57862     1.86986   0.0156303
          59     1.56022     1.86461   0.0162225
          60     1.54155     1.85923    0.016822
          61     1.52266     1.85371   0.0174276
          62     1.50359     1.84806   0.0180382
          63     1.48439     1.84229   0.0186527
          64     1.46509      1.8364     0.01927
          65     1.44575     1.83039   0.0198886
          66      1.4264     1.82427   0.0205076
          67      1.4071     1.81804   0.0211256
          68     1.38788     1.81171   0.0217414
          69     1.36878     1.80529   0.0223539
          70     1.34986     1.79879   0.0229619
          71     1.33114      1.7922   0.0235642
          72     1.31266     1.78554   0.0241599
          73     1.29447     1.77881   0.0247477
          74      1.2766     1.77203   0.0253268
          75     1.25908     1.76519   0.0258961
          76     1.24195      1.7583   0.0264547
          77     1.22525     1.75138   0.0270017
          78       1.209     1.74443   0.0275364
          79     1.19323     1.73745   0.0280578
          80     1.17799     1.73046   0.0285653
          81      1.1633     1.72345   0.0290581
          82     1.14919     1.71645   0.0295356
          83      1.1357     1.70945   0.0299971
          84     1.12285     1.70247    0.030442
          85     1.11066     1.69551   0.0308698
          86     1.09917     1.68857     0.03128
          87      1.0884     1.68168    0.031672
          88     1.07837     1.67482   0.0320455
          89     1.06911     1.66801   0.0324001
          90     1.06061     1.66127   0.0327354
