#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.44556    -5.44556           0
           2    -5.44635    -5.44595 0.000281486
           3    -5.43796    -5.44329  0.00218404
           4    -5.43323    -5.44077  0.00272544
           5    -5.45701    -5.44402  0.00363156
           6    -5.44108    -5.44353  0.00305914
           7    -5.44854    -5.44425  0.00270455
           8    -5.46544     -5.4469  0.00342627
           9    -5.46294    -5.44868   0.0034786
          10    -5.45796    -5.44961  0.00325207
          11    -5.45221    -5.44984  0.00296505
          12    -5.43234    -5.44838  0.00305593
          13    -5.47166    -5.45018  0.00330415
          14    -5.45147    -5.45027  0.00306943
          15    -5.46321    -5.45113  0.00298357
          16    -5.47863    -5.45285  0.00325478
          17    -5.45644    -5.45306  0.00307016
          18    -5.44788    -5.45277  0.00291305
          19    -5.42911    -5.45153  0.00301431
          20     -5.4414    -5.45102  0.00290579
          21    -5.42741     -5.4499  0.00297704
          22    -5.48916    -5.45168  0.00333405
          23    -5.43787    -5.45108  0.00324272
          24    -5.44952    -5.45102  0.00310826
          25    -5.42889    -5.45013  0.00310734
          26    -5.45231    -5.45021  0.00298896
          27    -5.44908    -5.45017  0.00287856
          28    -5.45364     -5.4503  0.00277842
          29    -5.45516    -5.45046  0.00268766
          30    -5.45945    -5.45076  0.00261469
          31    -5.48279     -5.4518  0.00272679
          32    -5.43261     -5.4512   0.0027067
          33    -5.44946    -5.45114  0.00262519
          34    -5.44959     -5.4511  0.00254838
          35    -5.46091    -5.45138  0.00249095
          36    -5.43779      -5.451  0.00245018
          37    -5.45566    -5.45113  0.00238719
          38    -5.44874    -5.45106   0.0023252
          39    -5.45896    -5.45127  0.00227438
          40    -5.44819    -5.45119  0.00221882
          41    -5.47032    -5.45166  0.00221321
          42    -5.44814    -5.45157  0.00216209
          43      -5.472    -5.45205  0.00216336
          44    -5.42003    -5.45132  0.00223326
          45    -5.44291    -5.45113  0.00219143
          46    -5.49303    -5.45204  0.00232535
          47    -5.43598     -5.4517  0.00230086
          48    -5.44061    -5.45147   0.0022645
          49    -5.45734    -5.45159  0.00222145
          50    -5.45278    -5.45161  0.00217715
          51    -5.43014    -5.45119   0.0021748
          52    -5.45913    -5.45135  0.00213832
          53     -5.4748    -5.45179  0.00214329
          54    -5.43755    -5.45153  0.00211975
          55    -5.47026    -5.45187   0.0021084
          56    -5.45718    -5.45196  0.00207289
          57    -5.42499    -5.45149  0.00208985
          58    -5.43582    -5.45122   0.0020712
          59    -5.43756    -5.45099    0.002049
          60    -5.44966    -5.45096  0.00201497
          61    -5.46993    -5.45127  0.00200577
          62    -5.43818    -5.45106  0.00198451
          63    -5.44385    -5.45095  0.00195631
          64    -5.43872    -5.45076  0.00193505
          65    -5.41344    -5.45018  0.00198863
          66     -5.4672    -5.45044  0.00197515
          67    -5.45258    -5.45047  0.00194592
          68    -5.44636    -5.45041  0.00191825
          69    -5.43119    -5.45013  0.00191058
          70     -5.4635    -5.45033   0.0018928
          71    -5.43409     -5.4501  0.00187989
          72    -5.46386    -5.45029  0.00186348
          73     -5.4491    -5.45027  0.00183802
          74    -5.46332    -5.45045  0.00182162
          75    -5.46557    -5.45065  0.00180846
          76    -5.43022    -5.45038  0.00180452
          77    -5.45876    -5.45049  0.00178437
          78    -5.43205    -5.45025  0.00177708
          79    -5.46515    -5.45044  0.00176456
          80    -5.44593    -5.45039   0.0017434
          81    -5.45021    -5.45038  0.00172188
          82    -5.43038    -5.45014  0.00171808
          83    -5.43923    -5.45001   0.0017024
          84    -5.44548    -5.44995  0.00168298
          85    -5.46478    -5.45013  0.00167219
          86    -5.46598    -5.45031  0.00166288
          87    -5.44256    -5.45022  0.00164615
          88    -5.45563    -5.45028  0.00162859
          89    -5.46977     -5.4505  0.00162493
          90    -5.45569    -5.45056   0.0016079
          91    -5.43983    -5.45044  0.00159454
          92    -5.43222    -5.45025  0.00158947
          93    -5.43247    -5.45005  0.00158383
          94    -5.44397    -5.44999   0.0015683
          95    -5.44163     -5.4499  0.00155426
          96    -5.46018    -5.45001  0.00154175
          97    -5.42798    -5.44978  0.00154249
          98    -5.46608    -5.44995  0.00153569
          99     -5.4578    -5.45003  0.00152222
         100    -5.46587    -5.45019  0.00151522
