#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.38226     1.38226           0
           2     1.33195      1.3571   0.0177887
           3      1.3812     1.36514   0.0135515
           4     1.41101      1.3766   0.0142106
           5      1.2341      1.3481   0.0279122
           6     1.35183     1.34872   0.0232671
           7     1.24429     1.33381   0.0242594
           8     1.27351     1.32627    0.022367
           9     1.21712     1.31414   0.0229351
          10     1.26635     1.30936   0.0211336
          11     1.24228     1.30326    0.020073
          12      1.3006     1.30304   0.0184015
          13     1.20131     1.29522   0.0185757
          14     1.37741     1.30109    0.018153
          15     1.27807     1.29955   0.0170075
          16     1.11598     1.28808    0.019433
          17      1.2227     1.28423   0.0186666
          18     1.42173     1.29187   0.0191288
          19     1.46366     1.30091   0.0201458
          20     1.27789     1.29976   0.0191714
          21     1.40971       1.305   0.0189599
          22     1.15756      1.2983    0.019246
          23     1.34842     1.30048   0.0185322
          24     1.27443     1.29939   0.0177918
          25     1.46421     1.30598   0.0182608
          26     1.28946     1.30535   0.0175695
          27     1.23978     1.30292   0.0170858
          28     1.29361     1.30259   0.0164788
          29     1.25069      1.3008   0.0160074
          30     1.32086     1.30147   0.0154878
          31     1.13319     1.29604    0.015911
          32     1.33803     1.29735   0.0154678
          33     1.27466     1.29666   0.0150144
          34     1.26681     1.29578   0.0145984
          35     1.20211     1.29311   0.0144246
          36     1.32288     1.29393   0.0140476
          37     1.28689     1.29374   0.0136692
          38     1.28633     1.29355   0.0133109
          39     1.21096     1.29143    0.013137
          40     1.31927     1.29213    0.012827
          41     1.16693     1.28907   0.0128725
          42     1.16276     1.28607   0.0129125
          43      1.1396     1.28266   0.0130537
          44     1.38939     1.28509   0.0129805
          45     1.32403     1.28595   0.0127208
          46     1.04154     1.28064   0.0135085
          47     1.30989     1.28126   0.0132354
          48     1.35536      1.2828   0.0130494
          49     1.29934     1.28314   0.0127874
          50     1.36184     1.28472   0.0126282
          51     1.39047     1.28679   0.0125496
          52     1.18542     1.28484   0.0124588
          53     1.19252      1.2831   0.0123449
          54     1.48929     1.28692   0.0126931
          55     1.33484     1.28779   0.0124921
          56     1.26943     1.28746   0.0122734
          57     1.39464     1.28934   0.0122012
          58      1.3716     1.29076    0.012073
          59     1.34779     1.29172    0.011907
          60     1.24467     1.29094   0.0117344
          61      1.1613     1.28881   0.0117329
          62     1.37949     1.29028   0.0116345
          63     1.36256     1.29142   0.0115062
          64     1.29413     1.29147   0.0113265
          65     1.52531     1.29506   0.0117097
          66     1.27615     1.29478   0.0115357
          67     1.24343     1.29401    0.011389
          68     1.28598     1.29389   0.0112221
          69     1.40605     1.29552   0.0111766
          70     1.25334     1.29492   0.0110332
          71     1.33457     1.29548   0.0108919
          72      1.2305     1.29457   0.0107779
          73     1.26733      1.2942   0.0106367
          74      1.2451     1.29354   0.0105137
          75     1.25119     1.29297   0.0103886
          76     1.43799     1.29488   0.0104257
          77     1.33393     1.29539   0.0103026
          78     1.28967     1.29531   0.0101708
          79     1.23352     1.29453   0.0100721
          80     1.40742     1.29594   0.0100446
          81     1.23241     1.29516  0.00995114
          82     1.44872     1.29703   0.0100044
          83      1.3756     1.29798   0.0099286
          84     1.38721     1.29904  0.00986707
          85     1.25913     1.29857  0.00976214
          86     1.20607     1.29749   0.0097077
          87     1.34419     1.29803  0.00961095
          88     1.29258     1.29797  0.00950193
          89     1.20282      1.2969  0.00945512
          90     1.30364     1.29698  0.00935036
          91     1.37955     1.29788  0.00929154
          92     1.35971     1.29855  0.00921482
          93     1.34828     1.29909  0.00913123
          94     1.37144     1.29986  0.00906648
          95     1.39643     1.30088  0.00902785
          96     1.23642      1.3002  0.00895874
          97     1.42826     1.30152  0.00896313
          98      1.2531     1.30103  0.00888528
          99     1.21355     1.30015  0.00883937
         100     1.14422     1.29859  0.00888744
