#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.09791     1.09791           0
           2     1.09907     1.09849  0.00041105
           3      1.0917     1.09623  0.00186899
           4     1.08958     1.09456  0.00200907
           5     1.10456     1.09656  0.00240439
           6     1.09476     1.09626  0.00202227
           7     1.09925     1.09669  0.00177783
           8      1.1113     1.09852  0.00231025
           9     1.10856     1.09963  0.00230727
          10     1.10488     1.10016  0.00213528
          11     1.10247     1.10037  0.00195153
          12     1.08882      1.0994  0.00201215
          13      1.1146     1.10057  0.00217048
          14     1.10255     1.10072  0.00202005
          15     1.10926     1.10128    0.001964
          16     1.11881     1.10238  0.00212493
          17     1.10404     1.10248  0.00200217
          18     1.09988     1.10233  0.00189612
          19     1.08818     1.10159  0.00193713
          20     1.09512     1.10127  0.00186709
          21      1.0852      1.1005  0.00192855
          22     1.12681      1.1017  0.00218033
          23     1.09219     1.10128  0.00212435
          24     1.10025     1.10124  0.00203627
          25     1.08718     1.10068  0.00203099
          26     1.10113     1.10069  0.00195295
          27      1.1001     1.10067  0.00188074
          28     1.10331     1.10077  0.00181593
          29     1.10354     1.10086  0.00175583
          30     1.10702     1.10107  0.00170926
          31     1.12156     1.10173  0.00177734
          32     1.08921     1.10134  0.00176433
          33     1.09943     1.10128  0.00171181
          34     1.09852      1.1012  0.00166339
          35     1.10723     1.10137  0.00162476
          36     1.09211     1.10111  0.00159986
          37      1.1048     1.10121  0.00155972
          38     1.09956     1.10117  0.00151928
          39     1.10506     1.10127  0.00148359
          40     1.09799     1.10119  0.00144877
          41     1.11412      1.1015  0.00144736
          42      1.0982     1.10142  0.00141503
          43     1.11434     1.10172  0.00141362
          44     1.08069     1.10125  0.00146012
          45     1.09551     1.10112  0.00143323
          46     1.12822     1.10171  0.00151833
          47     1.09051     1.10147  0.00150461
          48     1.09478     1.10133   0.0014797
          49     1.10525     1.10141  0.00145166
          50     1.10274     1.10144  0.00142287
          51     1.08721     1.10116  0.00142203
          52     1.10595     1.10125  0.00139767
          53     1.11633     1.10153  0.00139995
          54     1.09275     1.10137  0.00138344
          55     1.11356     1.10159  0.00137593
          56     1.10429     1.10164   0.0013522
          57     1.08341     1.10132  0.00136579
          58     1.09174     1.10116   0.0013522
          59     1.09261     1.10101  0.00133701
          60     1.09939     1.10098    0.001315
          61     1.11378     1.10119  0.00131008
          62     1.09321     1.10107  0.00129526
          63     1.09632     1.10099  0.00127688
          64      1.0929     1.10086  0.00126317
          65     1.07797     1.10051  0.00129192
          66      1.1121     1.10069  0.00128422
          67     1.10216     1.10071  0.00126524
          68      1.0976     1.10066  0.00124746
          69     1.08833     1.10048  0.00124212
          70     1.10943     1.10061  0.00123093
          71     1.09006     1.10046  0.00122252
          72     1.10998      1.1006  0.00121266
          73     1.09909     1.10058  0.00119622
          74     1.10865     1.10068  0.00118503
          75     1.11102     1.10082  0.00117721
          76     1.08767     1.10065  0.00117438
          77     1.10763     1.10074  0.00116262
          78     1.08987      1.1006  0.00115603
          79     1.11097     1.10073  0.00114883
          80     1.09875     1.10071  0.00113473
          81     1.09981      1.1007  0.00112078
          82     1.08801     1.10054  0.00111774
          83     1.09379     1.10046  0.00110723
          84     1.09806     1.10043  0.00109442
          85     1.11011     1.10055  0.00108745
          86     1.11155     1.10067  0.00108231
          87     1.09598     1.10062  0.00107121
          88     1.10437     1.10066  0.00105988
          89      1.1129      1.1008  0.00105685
          90     1.10475     1.10084  0.00104602
          91     1.09427     1.10077  0.00103702
          92     1.08945     1.10065  0.00103303
          93     1.08943     1.10053  0.00102894
          94     1.09769      1.1005  0.00101843
          95      1.0953     1.10044  0.00100918
          96     1.10644      1.1005   0.0010006
          97     1.08518     1.10035  0.00100268
          98     1.11074     1.10045 0.000998042
          99     1.10616     1.10051 0.000989624
         100     1.11022     1.10061 0.000984482
