0               0
1              14
2               1
3              23
4              22
5              29
6              28
7              16
8               3
9              10
10              30
11               4
12              26
13              24
14              27
15              17
16               5
17              15
18              33
19              19
20              31
21              32
22               8
23               6
24               2
25              21
26              25
27              12
28              11
29               9
30              18
31              13
32              20
33               7
